CONFIG,WORKER_ID,LAYER,PUBLISH_NUM,PUBLISH_TOTAL_SIZE,PUBLISH_MAX_SIZE,PUBLISH_MIN_SIZE,PUBLISH_AVG_SIZE,MSG_NUM,MSG_TOTAL_SIZE,MSG_MAX_SIZE,MSG_MIN_SIZE,MSG_AVG_SIZE,LS_NUM_TARGETS,NNZ,CHUNKS_SENT,CHUNKS_PER_TARGET,CHUNK_TOTAL_SIZE,CHUNK_MIN_SIZE,CHUNK_MAX_SIZE,CHUNK_AVG_SIZE,NNZ_SENT,NNZ_PER_TARGET,ROWS_SENT,ROWS_PER_TARGET,LAYER_DURATION
c1_1024n_8w_10000bs_queue,0,0,1,121023,121023,121023,121023,1,121023,121023,121023,121023,1,204732,1,1,121023,121023,121023,121023,25452,25452,15,15,0.44543457
c1_1024n_8w_10000bs_queue,0,1,3,673230,257499,178307,224410,8,673230,89352,79058,84153.75,1,1259632,8,8,673230,79058,89352,84153.75,317376,317376,32,32,1.1628418
c1_1024n_8w_10000bs_queue,0,2,2,386712,226425,160287,193356,9,386712,55165,33702,42968,1,688160,9,9,386712,33702,55165,42968,328128,328128,64,64,0.8857422
c1_1024n_8w_10000bs_queue,0,3,2,488921,252887,236034,244460.5,12,488921,54918,21960,40743.418,1,453728,12,12,488921,21960,54918,40743.418,453728,453728,128,128,0.64941406
c1_1024n_8w_10000bs_queue,0,4,1,200678,200678,200678,200678,7,200678,34399,13179,28668.285,2,252496,7,3.5,200678,13179,34399,28668.285,252496,126248,128,64,1.4256592
c1_1024n_8w_10000bs_queue,0,5,1,144075,144075,144075,144075,6,144075,33586,8969,24012.5,2,161840,6,3,144075,8969,33586,24012.5,181984,90992,144,72,0.26452637
c1_1024n_8w_10000bs_queue,0,6,2,348653,243800,104853,174326.5,13,348653,41491,6748,26819.46,7,93425,13,1.8571428,348653,6748,41491,26819.46,351296,50185.145,481,68.71429,1.1833496
c1_1024n_8w_10000bs_queue,0,7,5,1179309,255680,180841,235661,13,1179309,128292,36205,90716.08,7,90433,13,1.8571428,1179309,36205,128292,90716.08,370211,52887.285,524,74.85714,1.0820312
c1_1024n_8w_10000bs_queue,0,8,3,550061,226581,145021,183353.67,8,550061,82463,35320,68757.625,7,62231,8,1.1428572,550061,35320,82463,68757.625,234790,33541.43,483,69,0.9225464
c1_1024n_8w_10000bs_queue,0,9,5,846480,210720,131384,169296,7,846480,157769,85073,120925.71,7,48874,7,1,846480,85073,157769,120925.71,179472,25638.857,470,67.14286,0.86608887
